category,name,price_cents,is_active
main,Grilled Salmon with Lemon Butter,2895,true
main,Pan-Seared Sea Bass,3195,true
main,Blackened Red Snapper,2795,true
main,Lemon Garlic Tilapia,2495,true
main,Beer-Battered Fish & Chips,2295,true
main,Cajun Catfish with Corn Maque Choux,2695,true
main,Miso-Glazed Chilean Sea Bass,3495,true
main,Grilled Swordfish Steak,3295,true
main,Herb-Crusted Halibut,3595,true
main,Shrimp & Scallop Linguine,2995,true
main,Seafood Paella for Two,4595,true
main,Lobster Thermidor,4295,true
main,Coconut Curry Mahi Mahi,2795,true
main,Tuna Poke Bowl,2695,true
main,Fish Tacos (3) with Mango Salsa,2295,true
main,Grilled Octopus with Chorizo,3295,true
main,Mussels Marinara with Garlic Bread,2695,true
main,Crab Stuffed Flounder,3095,true
main,Swordfish Kabob with Vegetables,2895,true
main,Fisherman's Platter (Mixed Grill),3895,true
appetizer,Calamari Fritti with Lemon Aioli,1495,true
appetizer,Shrimp Cocktail (6 jumbo shrimp),1795,true
appetizer,Clam Chowder (Bowl),1295,true
appetizer,Crab Cakes (2) with Remoulade,1895,true
appetizer,Oysters Rockefeller (6 pieces),2195,true
appetizer,Seafood Stuffed Mushrooms,1395,true
appetizer,Tuna Tartare with Avocado,1695,true
dessert,Key Lime Pie,995,true
dessert,Bread Pudding with Bourbon Sauce,1095,true
dessert,Chocolate Lava Cake with Ice Cream,1195,true
beverage,Coca-Cola,395,true
beverage,Diet Coke,395,true
beverage,Sprite,395,true
beverage,Iced Tea,395,true
beverage,Lemonade,395,true
beverage,Sparkling Water,495,true
beverage,Bottled Water,295,true
alcohol,House White Wine (Glass),795,true
alcohol,House Red Wine (Glass),795,true
alcohol,Local Craft Beer,695,true
alcohol,Moscow Mule,995,true
alcohol,Blue Lagoon (Vodka Cocktail),1095,true
alcohol,Bloody Mary with Celery,895,true
